date,continent,retail_recreation,grocery_pharmacy,parks,transit_stations,workplaces,residential
28/02/2020,AS,0.0,6.0,-2.0,-8.0,2.0,1.0
28/02/2020,EU,0.0,3.0,-1.0,2.0,0.0,1.0
28/02/2020,OC,3.0,4.0,-5.5,10.5,18.0,-2.0
28/03/2020,AF,-41.0,-29.0,-28.5,-46.0,-22.0,16.5
28/03/2020,AM_N,-42.0,-13.0,-23.0,-32.0,-27.0,13.0
28/03/2020,AM_S,-70.0,-41.0,-68.0,-69.0,-43.0,24.0
28/03/2020,AS,-38.0,-18.0,-37.5,-37.0,-17.5,11.0
28/03/2020,EU,-76.0,-36.0,-46.0,-64.0,-46.0,15.5
28/03/2020,OC,-91.0,-51.5,-78.0,-59.0,-53.5,15.0
29/02/2020,AF,5.0,4.0,0.0,2.0,5.0,0.0
29/02/2020,AM_N,14.0,7.0,16.0,10.0,3.0,-2.0
29/02/2020,AM_S,4.0,7.0,-3.0,0.0,5.0,0.0
29/02/2020,AS,-2.0,5.5,-5.0,-7.0,5.0,1.0
29/02/2020,EU,2.0,3.0,-1.0,2.0,1.0,0.0
29/02/2020,OC,6.0,8.0,-4.0,2.5,4.0,0.0
29/03/2020,AF,-38.0,-25.0,-25.0,-42.0,-20.0,15.0
29/03/2020,AM_N,-38.0,-15.0,-11.0,-34.0,-32.0,11.0
29/03/2020,AM_S,-74.0,-51.0,-72.0,-74.0,-38.5,23.0
29/03/2020,AS,-40.5,-21.0,-39.0,-43.0,-14.0,12.0
